id,username,created_at,lng,lat,text
1519013128096387073,TheCaptain1999,Tue Apr 26 17:58:46 +0000 2022,-79.85736349999999,36.090396999999996,@CWHarris7 Same!
1519013129560154118,TeamGrove1,Tue Apr 26 17:58:46 +0000 2022,-95.44648649999999,29.838495,@TxBallCoach40 @Matt_Stepp817 @mikeforman21 @dctf Columbus is playing Giddings lol then La Grange after…..
1519013130164215808,yorkdukeyork,Tue Apr 26 17:58:46 +0000 2022,-74.10636600000001,40.6707835,@stevebritgimp Don't be (adjacent to) evil.
1519013130663251968,CADesignStudio,Tue Apr 26 17:58:46 +0000 2022,-78.657837,35.8439815,Is it too early to start drinking? 2pm...Tuesday 🥴
1519013130952654848,vipincreates,Tue Apr 26 17:58:46 +0000 2022,-86.1429225,39.7795625,It will be exciting for us (product designers) to see how @elonmusk would be taking certain Twitter product decisio… https://t.co/CGoushIWTL
1519013131242065923,niamommie,Tue Apr 26 17:58:47 +0000 2022,-77.0908695,38.81738,Me too sis 😛❤️
1519013132231872512,tmj_oh_nursing,Tue Apr 26 17:58:47 +0000 2022,-82.9754649,40.8083909,"We're hiring! Click to apply: Registered Nurse (RN) - Oncology - https://t.co/OsPDnbFI6O #Nursing #Bucyrus, OH"
1519013132550688773,MatthewTwihard,Tue Apr 26 17:58:47 +0000 2022,-90.253346,30.0093515,@Disney @DisneyParks @WaltDisneyWorld @WaltDisneyCo Thank you for standing up for the #LGBTQ community because… https://t.co/HbPbWHzQUO
1519013133133570049,Jpeterson171,Tue Apr 26 17:58:47 +0000 2022,-111.08292900000001,45.68785,"You’re trying to figure if you can go out to dinner or not, I wouldn’t worry about what Elon is doing with his money"
1519013133314011136,tmj_bna_jobs,Tue Apr 26 17:58:47 +0000 2022,-86.6049983,36.1798991,"See our latest #Nashville, TN #Hospitality job opportunity and click the link in our bio to apply: Prep Cook at Outback Steakhouse"
1519013133410578434,JaakeNBaake,Tue Apr 26 17:58:47 +0000 2022,-84.51578599999999,33.846765000000005,@BeachDog15 Lmao people actually thought this was real?
1519013133418999808,KcRogers6,Tue Apr 26 17:58:47 +0000 2022,-81.539806,35.9038855,"Just found out 2 more staff people just left our workshop, I'm definitely upset about it😭😭😭😭😭😭😭 @thundermascot"
1519013133490130944,tmj_ca_purch,Tue Apr 26 17:58:47 +0000 2022,-117.7946942,33.6839473,"At SCA, we offer a work culture that matches your needs and life. Find best-in-class benefits, training and schedul… https://t.co/3MRZFQUCrh"
1519013133850918912,Tennesseine,Tue Apr 26 17:58:47 +0000 2022,-80.8467855,35.209058999999996,"@joncoopertweets @Pocolilli16 If I carried a gun into CLT, I’d be in jail. Why does this little punk keep getting… https://t.co/4v2Cuvmdc6"
1519013133964091393,tmj_mke_edu,Tue Apr 26 17:58:47 +0000 2022,-87.8211854,42.5847425,Join the The Stepping Stones Group team! See our latest job opening here: https://t.co/GaBXbDhYCY #SLPeeps #SLP
1519013134354173952,tmj_vap_edu,Tue Apr 26 17:58:47 +0000 2022,-76.3347838,37.0517234,"Join the The Stepping Stones Group team! See our latest School/Home/Community job openings, including ""Speech Langu… https://t.co/NcYxG7phHM"
1519013134618402816,tmj_KY_transp,Tue Apr 26 17:58:47 +0000 2022,-88.6000478,37.0833893,"1,500 employees have been working for Brinks for over 10 years. Join our team and see why: https://t.co/UHAITfX5UW… https://t.co/NpfLfShP0l"
1519013135599865857,beautiifuldecay,Tue Apr 26 17:58:48 +0000 2022,-118.03698299999999,33.818909500000004,@VeeAlmighty Yea there really ain’t much you can do with that one.
1519013135759265792,Joe_Knows___,Tue Apr 26 17:58:48 +0000 2022,-118.07951,33.755328,Follow or fade meMIA F5 -120CWS TT o4.5 -120DET F5 +110Hate the juice but love the plays 🫠@FadeUsports
1519013136388526080,spaceyjdjames,Tue Apr 26 17:58:48 +0000 2022,-86.27053950000001,45.001180000000005,@MrThomasJerome You hear Squats are coming back?!
1519013137751547905,fernie_705,Tue Apr 26 17:58:48 +0000 2022,-118.1074395,34.0101865,"@WorldLatinHoney This is crazy! the baby looks so scared, and confused, also the guy looks very much drunk or drugg… https://t.co/hzQkta2IC2"
